MP,TOT_MP,L1,L2,H,AREA,VOL,#PER_LC,TC,CAST,INT
112.06.050.64I/,7310,1200,800,700,0.96,0.672,250,0.170068027210884,1,0
112.07.007.63I/,6487,1200,800,700,0.96,0.672,250,0.321543408360129,1,0
750.04.007.62I/,3713,1000,800,800,0.8,0.64,72,0.115606936416185,1,0
2900601102KITI/,3534,1200,800,800,0.96,0.768,250,0.0680272108843538,1,0
750.04.008.61I/,2807,1000,800,800,0.8,0.64,72,0.115606936416185,1,0
YAM0012GI/,2334,1200,800,810,0.96,0.7776,216,0.0246305418719212,1,0
YAM0013GI/,2334,1200,800,750,0.96,0.72,216,0.115606936416185,1,0
112.06.054.62I/,2246,1200,800,600,0.96,0.576,60,0.0730353491089687,1,0
YAM0011GI/,1984,1200,800,700,0.96,0.672,6,0.102040816326531,0,0
750.07.002.61I/,1967,1200,800,645,0.96,0.6192,60,0.115606936416185,1,0
223.06.029.61I/,1961,1200,800,1040,0.96,0.9984,50,0.0145772594752187,1,0
750.04.011.61I/,1633,1200,800,700,0.96,0.672,48,0.102040816326531,1,0
112.06.052.64I/,1480,1200,800,930,0.96,0.8928,48,0.0193050193050193,1,0
112.06.050.65I/,1376,1200,800,750,0.96,0.72,30,0.0525210084033613,1,0
223.06.028.61I/,1360,1200,800,935,0.96,0.8976,30,0.0248015873015873,1,0
750.06.096.61I/,1205,1200,800,600,0.96,0.576,1,0.0079365079365079,1,0
755.06.097.61I/,1195,1200,800,810,0.96,0.7776,6,0.0821018062397373,1,0
730.04.714.05I1,1180,1200,800,800,0.96,0.768,4,0.0178571428571429,1,0
212.06.003.94I/,1080,1200,800,700,0.96,0.672,6,0.170068027210884,1,0
755.06.009.61I/,1075,1200,800,700,0.96,0.672,6,0.0446428571428571,1,0
138.04.008.61I/,1071,1200,800,800,0.96,0.768,6,0.0560224089635854,1,0
212.06.002.94I/,1062,1200,800,700,0.96,0.672,6,0.0821018062397373,1,0
733.07.003.01I1,1000,1200,800,600,0.96,0.576,6,0.0147275405007364,1,0
113.04.037.61I/,969,1200,800,1040,0.96,0.9984,4,0.137362637362637,1,0
138.04.007.62I/,960,1200,800,810,0.96,0.7776,6,0.170068027210884,1,0
138.04.007.61I/,924,1200,800,810,0.96,0.7776,6,0.115606936416185,1,0
H218PP0145TBI1,896,1200,800,935,0.96,0.8976,6,0.0090415913200723,1,0
H218PM0145681I/,896,1200,800,800,0.96,0.768,6,0.170068027210884,1,0
755.04.045.61I/,826,1200,800,810,0.96,0.7776,6,0.0178571428571429,1,0
730.04.006.61I/,807,1200,800,900,0.96,0.864,6,0.0198412698412698,1,0
212.07.017.01I2,800,1200,800,645,0.96,0.6192,6,0.0266666666666667,1,0
PA143375I/,774,1200,800,800,0.96,0.768,6,0.0183150183150183,1,0
733.06.001.66I/,615,1200,800,800,0.96,0.768,6,0.102040816326531,1,0
212.07.018.01I2,550,1200,800,800,0.96,0.768,6,0.0446428571428571,1,0
212.01.018.61I/,520,1200,800,910,0.96,0.8736,6,0.0417536534446764,1,0
730.06.029.63I/,465,1200,800,800,0.96,0.768,24,0.0560224089635854,1,0
725.06.044.64I/,464,1200,800,800,0.96,0.768,24,0.0248015873015873,1,0
