node_id,x_node,y_node,capacity,x,y
0,424,26.155,0,309.59,15.385
1,350,65,124.32,316.77,15.385
2,570,65,40.32,323.95,15.385
3,350,65,413.28,331.13,15.385
4,60,65,120.96,338.31,15.385
5,490,340,352.8,352.67,26.155
6,630,225,114.24,359.85,26.155
7,60,165,40.32,367.03,26.155
8,220,165,137.76,374.21,26.155
9,127,165,937.44,381.39,26.155
10,375,340,329.28,388.57,26.155
11,563,390,168,395.75,26.155
13,424,65,0,449.59,28.385
14,630,100,0,456.77,28.385
15,630,340,0,463.95,28.385
16,563,340,0,471.13,28.385
17,270,340,0,478.31,28.385
18,270,165,0,485.49,39.155
19,460,165,0,492.67,39.155
20,127,65,0,499.85,39.155
21,460,65,0,507.03,39.155
,,,,514.21,39.155
,,,,521.39,39.155
,,,,528.57,39.155
,,,,535.75,39.155
,,,,542.93,39.155
,,,,557.29,49.925
,,,,564.47,49.925
,,,,571.65,49.925
,,,,578.83,49.925
,,,,586.01,49.925
,,,,593.19,49.925
,,,,600.37,49.925
,,,,607.55,49.925
,,,,614.73,49.925
,,,,621.91,60.695
,,,,629.09,60.695
,,,,636.27,60.695
,,,,643.45,60.695
,,,,650.63,60.695
,,,,657.81,60.695
,,,,664.99,60.695
,,,,672.17,60.695
,,,,679.35,60.695
,,,,686.53,71.465
,,,,693.71,71.465
,,,,700.89,71.465
,,,,708.07,71.465
,,,,715.25,71.465
,,,,153.59,100.385
,,,,153.59,111.155
,,,,153.59,121.925
,,,,160.77,100.385
,,,,160.77,111.155
,,,,160.77,121.925
,,,,167.95,100.385
,,,,167.95,111.155
,,,,167.95,121.925
,,,,175.13,100.385
,,,,175.13,111.155
,,,,175.13,121.925
,,,,182.31,100.385
,,,,182.31,111.155
,,,,182.31,121.925
,,,,189.49,100.385
,,,,189.49,111.155
,,,,189.49,121.925
,,,,196.67,100.385
,,,,196.67,111.155
,,,,196.67,121.925
,,,,203.85,100.385
,,,,203.85,111.155
,,,,203.85,121.925
,,,,211.03,100.385
,,,,211.03,111.155
,,,,211.03,121.925
,,,,218.21,100.385
,,,,218.21,111.155
,,,,218.21,121.925
,,,,225.39,100.385
,,,,225.39,111.155
,,,,225.39,121.925
,,,,232.57,100.385
,,,,232.57,111.155
,,,,232.57,121.925
,,,,239.75,100.385
,,,,239.75,111.155
,,,,239.75,121.925
,,,,246.93,100.385
,,,,246.93,111.155
,,,,246.93,121.925
,,,,254.11,100.385
,,,,254.11,111.155
,,,,254.11,121.925
,,,,261.29,100.385
,,,,261.29,111.155
,,,,261.29,121.925
,,,,268.47,100.385
