MP,DESC,L1,L2,H,AREA,VOL,#PER_LC,#LC,TOT_MP,TOT_VOL,T.C.,LC_CONSUMPTION,VOL_DEPLETING,CAST,INT,Class,Slot_IDs
112.07.007.63I/,FUSIONE PISTONE,1200,800,700,0.96,0.672,216,35,7524,23.52,0.321543408,1.332618792,17.64945845,1,0,A,"9, 15, 18, 126, 149, 150, 160"
750.04.008.61I/,FUSIONE SEMISCATOLA,1000,800,800,0.8,0.64,250,11,2546,7.04,0.115606936,0.413965318,17.00625559,1,0,A,"7, 130, 161"
750.04.007.62I/,FUSIONE SEMISCATOLA,1000,800,800,0.8,0.64,250,11,2546,7.04,0.115606936,0.413965318,17.00625559,1,0,A,"3, 4, 165"
H218PM0145681I/,RAW HUB H218,1200,800,800,0.96,0.768,24,90,2160,69.12,0.170068027,6.343537415,10.89612869,1,0,B,"37, 43, 46, 74, 81, 93, 95, 99, 108, 109, 310, 313, 314, 317, 328, 329, 333, 607, 640, 649, 657, 666, 671"
H218PM0145621I/,RAW CONE H218,1200,800,765,0.96,0.7344,45,46,2032,33.7824,0.062111801,1.235610766,27.34064879,1,0,A,"21, 123, 128, 131, 133, 141, 144, 153, 154, 156, 168, 170"
YAM0011GI/,FORCELLONE BEH-F2110-00 GREZZO,1200,800,700,0.96,0.672,12,89,1062,59.808,0.102040816,7.612244898,7.856815013,0,0,B,"698, 699, 700, 701, 702, 703, 704, 705, 706, 707, 708, 709, 711, 712, 715, 718, 721, 724"
212.01.018.61I/,HOUSING - MODULAR AXLE - CENTRAL,1200,800,910,0.96,0.8736,18,58,1040,50.6688,0.041753653,2.076548365,24.40049115,1,0,A,"2, 8, 12, 13, 20, 25, 26, 28, 117, 124, 125, 152, 158, 163, 167"
755.06.085.63I/,MOZZO RUOTA GREZZO,1200,800,910,0.96,0.8736,24,36,855,31.4496,0.137362637,5.123626374,6.138152493,1,0,B,"40, 47, 77, 80, 96, 101, 316, 624, 665"
2817.001.002I2,SCATOLA USCITA GREZZO,1200,800,700,0.96,0.672,6,123,737,82.656,0.119047619,17.76190476,4.65355496,1,0,C,"62, 68, 70, 71, 73, 188, 190, 198, 202, 204, 320, 322, 323, 324, 561, 562, 571, 578, 612, 614, 628, 629, 644, 647, 663"
112.07.007.64I/,FUSIONE PISTONE,1200,800,700,0.96,0.672,216,4,687,2.688,0.145454545,0.602828283,4.458981233,1,0,C,193
